,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
38,7,10,2704.5475,540909.5,27.348083307250587,26649.74999999981
39,7,11,2704.5475,540909.5,27.348083307250587,26649.74999999981
40,7,12,2704.5475,540909.5,27.348083307250587,26649.74999999981
41,7,13,2704.5475,540909.5,27.348083307250587,26649.74999999981
42,7,14,2704.5475,540909.5,27.348083307250587,26649.74999999981
43,7,15,2704.5475,540909.5,27.348083307250587,26649.74999999981
44,7,16,2704.5475,540909.5,27.348083307250587,26649.74999999981
45,7,17,2704.5475,540909.5,27.348083307250587,26649.74999999981
46,7,18,2704.5475,540909.5,27.348083307250587,26649.74999999981
47,7,19,2704.5475,540909.5,27.348083307250587,26649.74999999981
48,7,20,2704.5475,540909.5,27.348083307250587,26649.74999999981
49,7,21,2704.5475,540909.5,27.348083307250587,26649.74999999981
50,7,22,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
51,7,23,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
52,7,24,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
53,7,25,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
54,7,26,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
55,7,27,2702.397500000001,540479.5,27.46646534709587,26649.750000000015
56,7,28,2701.7725000000005,540354.5,27.556749313966,7104.75
57,7,29,2698.5225000000005,539704.5,28.26945458524398,7104.749999999982
58,7,30,2695.8975000000005,539179.5,28.872588363185624,7104.749999999996
59,7,31,2694.0225000000005,538804.5,29.31939873515662,7104.749999999989
60,7,32,2691.8975000000005,538379.5,29.84279998739876,7104.749999999993
61,7,33,2691.8975000000005,538379.5,29.84279998739876,7104.749999999993
62,7,34,2696.6475,539329.5,28.686067286436646,7104.749999999978
63,7,35,2696.6475,539329.5,28.686067286436646,7104.749999999978
64,7,36,2696.6475,539329.5,28.686067286436646,7104.749999999978
65,7,37,2696.6475,539329.5,28.686067286436646,7104.749999999978
66,7,38,2696.6475,539329.5,27.54873544722217,7104.749999999978
67,7,39,2701.205,540241.0,27.24073780671665,26649.74999999994
68,8,6,2742.35625,548471.25,27.433759085325853,14852.500000000015
69,8,7,2742.35625,548471.25,27.433759085325853,14852.500000000015
70,8,8,2742.35625,548471.25,27.433759085325853,14852.500000000015
71,8,9,2742.35625,548471.25,27.433759085325853,14852.500000000015
72,8,10,2742.35625,548471.25,27.433759085325853,14852.500000000015
73,8,11,2742.35625,548471.25,27.433759085325853,14852.500000000015
74,8,12,2742.35625,548471.25,27.433759085325853,14852.500000000015
75,8,13,2742.35625,548471.25,27.433759085325853,14852.500000000015
76,8,14,2742.35625,548471.25,27.433759085325853,14852.500000000015
77,8,15,2742.35625,548471.25,27.433759085325853,14852.500000000015
78,8,16,2742.35625,548471.25,27.433759085325853,14852.500000000015
79,8,17,2742.35625,548471.25,27.433759085325853,14852.500000000015
80,8,18,2742.35625,548471.25,27.433759085325853,14852.500000000015
81,8,19,2742.35625,548471.25,27.433759085325853,14852.500000000015
82,8,20,2742.35625,548471.25,27.433759085325853,14852.500000000015
83,8,21,2742.35625,548471.25,27.433759085325853,14852.500000000015
84,8,22,2742.35625,548471.25,27.433759085325853,14852.500000000015
85,8,23,2742.35625,548471.25,27.433759085325853,14852.500000000015
86,8,24,2742.35625,548471.25,27.433759085325853,14852.500000000015
87,8,25,2742.35625,548471.25,27.433759085325853,14852.500000000015
88,8,26,2742.35625,548471.25,27.433759085325853,14852.500000000015
89,8,27,2742.35625,548471.25,27.433759085325853,14852.500000000015
90,8,28,2741.7312500000003,548346.25,27.497246109840873,14852.500000000015
91,8,29,2738.48125,547696.25,27.832173073859927,14852.499999999993
92,8,30,2735.8562500000003,547171.25,28.108706554755464,14852.500000000015
93,8,31,2733.9812500000003,546796.25,28.309618885150982,14852.500000000044
94,8,32,2731.85625,546371.25,28.54081995407334,14852.5
95,8,33,2731.85625,546371.25,28.54081995407334,14852.5
96,8,34,2736.6062500000003,547321.25,28.02384928159699,14852.499999999993
97,8,35,2736.6062500000003,547321.25,28.02384928159699,14852.499999999993
98,8,36,2736.6062500000003,547321.25,28.02384928159699,14852.499999999993
99,8,37,2736.6062500000003,547321.25,28.02384928159699,14852.499999999993
100,8,38,2736.6062500000003,547321.25,27.493428603161696,14852.500000000058
101,8,39,2741.16375,548232.75,27.032315014514857,14852.499999999935
102,9,6,2756.64625,551329.25,29.492713657143476,30079.249999999884
