,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
53,6,8,9,11,12,12,-66.47374999999988,-13294.75,99.61577327768798,43620.999999999985
54,6,8,9,14,6,6,40.17000000000007,8034.0,73.88907432131728,33205.74999999993
55,6,8,9,14,6,9,35.736250000000105,7147.25,76.92740250362633,30096.500000000062
56,6,8,9,14,6,12,62.48625000000014,12497.25,75.34932580397734,33891.750000000044
57,6,8,9,14,9,6,41.76500000000009,8353.0,69.29432660182927,22140.749999999985
58,6,8,9,14,9,9,26.415000000000127,5283.0,80.70832771474251,20948.249999999985
59,6,8,9,14,9,12,49.79000000000015,9958.0,75.77242546887807,28644.250000000015
60,6,8,9,14,12,6,161.56625000000017,32313.25,54.20452136795857,18540.24999999997
61,6,8,9,14,12,9,137.50750000000016,27501.5,63.13139560200302,17397.749999999978
62,6,8,9,14,12,12,153.2575000000002,30651.5,51.402950063937034,15777.74999999998
63,6,8,9,17,6,6,34.78375000000025,6956.75,81.92661047515098,26462.499999999985
64,6,8,9,17,6,9,69.4737500000002,13894.75,76.57703266675747,29495.74999999997
65,6,8,9,17,6,12,41.62125000000014,8324.25,82.2377453932313,34140.999999999985
66,6,8,9,17,9,6,156.10375000000033,31220.75,68.51731380457612,18431.5
67,6,8,9,17,9,9,197.16875000000022,39433.75,50.355464618265636,14520.249999999998
68,6,8,9,17,9,12,156.4412500000002,31288.25,52.63571478894226,24281.249999999935
69,6,8,9,17,12,6,223.22125000000023,44644.25,49.517839922854314,14121.249999999987
70,6,8,9,17,12,9,249.3412500000002,49868.25,37.44023985090343,11551.249999999989
71,6,8,9,17,12,12,219.1612500000002,43832.25,41.07512266844467,24025.250000000022
72,6,8,9,20,6,6,233.4375000000002,46687.5,39.90289154883155,12409.499999999985
73,6,8,9,20,6,9,165.02000000000027,33004.0,39.007285179613845,18994.50000000002
74,6,8,9,20,6,12,180.98500000000016,36197.0,42.19839785100976,21992.750000000036
75,6,8,9,20,9,6,251.67500000000013,50335.0,35.28169317642993,10231.24999999997
76,6,8,9,20,9,9,181.75750000000022,36351.5,33.080215449159596,16597.749999999985
77,6,8,9,20,9,12,195.53750000000014,39107.5,39.94121519939801,21232.749999999985
78,6,8,9,20,12,6,366.01625000000007,73203.25,27.041490609236213,7263.749999999996
79,6,8,9,20,12,9,306.21500000000015,61243.0,23.614706374302045,14824.250000000007
80,6,8,9,20,12,12,322.0262500000001,64405.25,29.20276640662227,19296.749999999898
81,6,8,12,14,6,6,-90.83249999999998,-18166.5,93.63760578279266,21244.500000000004
82,6,8,12,14,6,9,-88.08249999999998,-17616.5,97.1448208377988,20848.249999999985
83,6,8,12,14,6,12,69.82625000000014,13965.25,64.1528050643964,18367.750000000033
84,6,8,12,14,9,6,-85.10250000000002,-17020.5,95.9104294478528,19541.75000000001
85,6,8,12,14,9,9,-87.9,-17580.0,99.00625000000002,19801.250000000004
86,6,8,12,14,9,12,123.84750000000011,24769.5,71.75124889117139,19210.499999999985
87,6,8,12,14,12,6,-86.65875,-17331.75,91.39509202453989,18621.750000000004
88,6,8,12,14,12,9,-84.53374999999998,-16906.75,97.89803698029856,20609.249999999993
89,6,8,12,14,12,12,148.47250000000008,29694.5,60.937064156206475,17476.750000000022
90,6,8,12,17,6,6,139.82875000000013,27965.75,76.35621846896251,21756.749999999985
91,6,8,12,17,6,9,136.58250000000007,27316.5,77.27764951065524,37821.99999999998
92,6,8,12,17,6,12,168.07500000000007,33615.0,56.056246242525155,30536.5
93,6,8,12,17,9,6,170.77875000000012,34155.75,93.64728077495194,25811.99999999998
94,6,8,12,17,9,9,153.52750000000012,30705.5,69.4632461247107,19806.750000000007
95,6,8,12,17,9,12,192.39500000000012,38479.0,51.3347240391755,14518.999999999996
96,6,8,12,17,12,6,187.02625000000012,37405.25,78.83640767654182,21155.749999999996
97,6,8,12,17,12,9,171.27500000000012,34255.0,62.81027452601511,25070.249999999935
98,6,8,12,17,12,12,185.0175000000001,37003.5,50.89530622545036,23193.500000000025
99,6,8,12,20,6,6,115.86500000000018,23173.0,81.38712529132836,32912.74999999996
100,6,8,12,20,6,9,191.2925000000001,38258.5,47.04427858418415,23116.49999999994
101,6,8,12,20,6,12,107.37500000000013,21475.0,55.78112373633248,16911.999999999956
102,6,8,12,20,9,6,183.4712500000001,36694.25,67.5330117329626,33038.499999999935
103,6,8,12,20,9,9,275.1487500000001,55029.75,40.34880854560387,24552.24999999992
104,6,8,12,20,9,12,202.35625000000005,40471.25,50.12836490528411,20111.499999999993
105,6,8,12,20,12,6,165.01250000000002,33002.5,66.12530759038425,30567.249999999935
106,6,8,12,20,12,9,233.75500000000002,46751.0,43.6164680296902,25370.500000000022
107,6,8,12,20,12,12,171.86875,34373.75,49.347873837185176,20781.500000000004
108,6,8,15,17,6,6,54.657500000000056,10931.5,85.66847278938494,37866.74999999995
109,6,8,15,17,6,9,107.38875000000002,21477.75,81.25798440422291,39754.25000000012
110,6,8,15,17,6,12,-44.008750000000006,-8801.75,98.59039947752257,31701.249999999985
111,6,8,15,17,9,6,110.27374999999996,22054.75,53.63870443149478,22758.499999999985
112,6,8,15,17,9,9,177.45249999999996,35490.5,48.97507968848375,24698.500000000022
113,6,8,15,17,9,12,101.08374999999992,20216.75,58.56422222984799,21332.749999999985
114,6,8,15,17,12,6,108.55499999999998,21711.0,58.142230272449844,26963.74999999998
115,6,8,15,17,12,9,170.49125,34098.25,56.28387493219017,29310.250000000036
116,6,8,15,17,12,12,104.8724999999999,20974.5,64.69438934012048,21605.500000000015
117,6,8,15,20,6,6,115.57375000000003,23114.75,68.61878335903997,32365.25
118,6,8,15,20,6,9,72.87499999999999,14575.0,84.87478286554185,30171.499999999956
119,6,8,15,20,6,12,110.61499999999998,22123.0,67.88776239240639,19954.249999999964
120,6,8,15,20,9,6,144.47,28894.0,64.25048783299667,37618.49999999993
121,6,8,15,20,9,9,104.14624999999998,20829.25,86.49034491943004,40590.99999999997
122,6,8,15,20,9,12,153.6362499999999,30727.25,63.73602118893464,25988.999999999985
123,6,8,15,20,12,6,221.16374999999996,44232.75,44.761475236315775,24315.99999999993
