,period_high,period_low,period_rsi,return,pnl,drawdown (%),drawdown (abs)
598,14,8,26,146.58124999999998,29316.25,72.74956613596923,28924.499999999964
599,14,8,28,132.74124999999995,26548.25,79.13678833532707,30597.25000000003
600,14,10,6,162.51624999999981,32503.25,57.24648865565687,25035.750000000022
601,14,10,8,121.14124999999977,24228.25,82.42234169653536,30354.500000000044
602,14,10,10,123.06624999999988,24613.25,88.44167126471875,37667.749999999985
603,14,10,12,123.95124999999987,24790.25,79.69899686248799,32197.000000000065
604,14,10,14,133.79374999999985,26758.75,75.58903167835597,31335.999999999993
605,14,10,16,164.55124999999987,32910.25,70.88184438040359,32282.25000000006
606,14,10,18,164.19749999999993,32839.5,65.77211553806056,30911.25000000009
607,14,10,20,138.74874999999997,27749.75,74.64920594558366,32292.500000000073
608,14,10,22,138.67874999999995,27735.75,69.6393132413348,30177.49999999999
609,14,10,24,136.05374999999998,27210.75,69.6393132413348,30177.49999999999
610,14,10,26,144.51499999999996,28903.0,68.51321054573317,30177.499999999935
611,14,10,28,130.67499999999993,26135.0,74.15485087658034,31850.24999999996
612,14,12,6,-57.442500000000194,-11488.5,97.00928565549563,32412.5
613,14,12,8,-61.87250000000019,-12374.5,98.83571598852652,32130.750000000033
614,14,12,10,-36.2375000000002,-7247.5,98.7098385828798,33587.74999999999
615,14,12,12,-39.690000000000175,-7938.0,98.17479080474087,31560.249999999967
616,14,12,14,-39.52875000000019,-7905.75,97.11134703449602,30642.999999999945
617,14,12,16,-39.956250000000146,-7991.25,98.790487615553,34998.999999999956
618,14,12,18,72.48250000000002,14496.5,98.85137388170362,34832.99999999995
619,14,12,20,-44.67625000000009,-8935.25,94.96806862411677,31414.249999999938
620,14,12,22,61.76125000000003,12352.25,98.5989518531087,32689.249999999964
621,14,12,24,62.01125000000004,12402.25,98.5989518531087,32689.249999999964
622,14,12,26,70.69375000000004,14138.75,95.35884364903998,32689.249999999993
623,14,12,28,-41.708750000000116,-8341.75,99.91562452915484,33157.00000000006
624,14,14,6,-35.99250000000019,-7198.5,96.81355226057018,32532.500000000065
625,14,14,8,-39.148750000000156,-7829.75,96.11541178548315,32654.250000000047
626,14,14,10,-5.908750000000177,-1181.75,97.69105840534425,31880.499999999953
627,14,14,12,-15.52000000000018,-3104.0,99.92097488258496,27817.25
628,14,14,14,-26.66750000000019,-5333.5,99.86530656226445,27803.499999999938
629,14,14,16,-28.470000000000134,-5694.0,97.15583023270489,30812.00000000001
630,14,14,18,-26.64125000000009,-5328.25,96.40304771217868,29575.249999999978
631,14,14,20,-74.64000000000007,-14928.0,95.02069212567999,25199.250000000033
632,14,14,22,-74.26500000000007,-14853.0,94.75272375186839,25199.249999999996
633,14,14,24,-74.26500000000007,-14853.0,94.75272375186839,25199.249999999996
634,14,14,26,-58.07000000000006,-11614.0,91.4739382648093,27004.249999999927
635,14,14,28,-63.54625000000005,-12709.25,94.99841694223603,27004.250000000015
636,14,16,6,182.99874999999975,36599.75,68.91435731530152,31899.25000000008
637,14,16,8,100.2999999999997,20060.0,82.5192423626398,29429.25000000002
638,14,16,10,-15.906250000000227,-3181.25,99.79669318383111,32397.24999999992
639,14,16,12,84.52499999999988,16905.0,92.91228822646382,28161.250000000022
640,14,16,14,112.97249999999988,22594.5,89.99273036755989,25377.499999999996
641,14,16,16,-29.502500000000158,-5900.5,97.21778260532251,31325.999999999993
642,14,16,18,115.36625000000001,23073.25,99.91262455009665,31160.000000000025
643,14,16,20,-78.44000000000008,-15688.0,95.47437149024215,26649.999999999967
644,14,16,22,-78.44000000000008,-15688.0,95.47437149024215,26649.999999999967
645,14,16,24,-78.44000000000008,-15688.0,95.47437149024215,26649.999999999967
646,14,16,26,-79.38250000000008,-15876.5,96.1234997610439,26649.99999999997
647,14,16,28,-79.38250000000008,-15876.5,96.1234997610439,26649.99999999997
648,14,18,6,179.5424999999998,35908.5,71.45237296616662,32486.00000000005
649,14,18,8,146.78499999999977,29357.0,78.63476981584111,33807.25000000006
650,14,18,10,125.51624999999984,25103.25,98.91981517379284,40568.5
651,14,18,12,159.05124999999984,31810.25,82.39076301738139,33252.5
652,14,18,14,194.98249999999982,38996.5,80.05559638303997,31318.750000000033
653,14,18,16,192.0237499999999,38404.75,89.15941994433093,37397.25000000003
654,14,18,18,195.36874999999995,39073.75,89.15163621408855,37936.25000000004
655,14,18,20,170.22499999999994,34045.0,94.8865155237599,37269.99999999995
656,14,18,22,169.8499999999999,33970.0,94.95016357549304,37294.99999999995
657,14,18,24,172.09124999999992,34418.25,98.56357443947034,39574.999999999956
658,14,18,26,176.84124999999992,35368.25,98.56357443947034,39574.999999999956
659,14,18,28,-35.410000000000146,-7082.0,99.56664404415758,39977.74999999996
660,14,20,6,337.72249999999985,67544.5,40.488472470786455,11538.000000000004
661,14,20,8,214.99749999999983,42999.5,51.60556466399567,26597.250000000062
662,14,20,10,195.00124999999986,39000.25,71.64510864564623,36986.250000000015
663,14,20,12,209.42124999999984,41884.25,63.79057560184758,31870.25000000011
664,14,20,14,240.39374999999987,48078.75,62.38460416362776,29936.500000000044
665,14,20,16,228.93499999999995,45787.0,73.32043973941379,36015.00000000003
666,14,20,18,224.93374999999992,44986.75,73.50751333497563,36554.00000000006
667,14,20,20,187.88999999999993,37578.0,86.12985804049342,37935.249999999985
668,14,20,22,187.51499999999993,37503.0,86.18661913870713,37960.249999999985
669,14,20,24,186.38999999999996,37278.0,88.3823055663881,39095.25000000002
