,period_sma5,period_sma25,period_he,period_direc,return,pnl,drawdown (%),drawdown (abs)
1363,11,20,10,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1364,11,20,10,14,2307.39,461478.0,47.250620914693044,56836.00000000001
1365,11,20,10,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1366,11,20,10,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1367,11,20,10,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1368,11,20,12,6,2290.925,458185.0,40.87074426214643,49585.00000000013
1369,11,20,12,8,2331.90125,466380.25,40.63161948777198,49584.99999999997
1370,11,20,12,10,2323.07625,464615.25,41.342193466624394,49585.00000000025
1371,11,20,12,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1372,11,20,12,14,2307.39,461478.0,47.250620914693044,56836.00000000001
1373,11,20,12,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1374,11,20,12,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1375,11,20,12,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1376,11,20,14,6,2290.925,458185.0,40.87074426214643,49585.00000000013
1377,11,20,14,8,2331.90125,466380.25,40.63161948777198,49584.99999999997
1378,11,20,14,10,2323.07625,464615.25,41.342193466624394,49585.00000000025
1379,11,20,14,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1380,11,20,14,14,2307.39,461478.0,47.250620914693044,56836.00000000001
1381,11,20,14,16,2292.1675000000005,458433.5,50.27854629574334,56835.99999999988
1382,11,20,14,18,2301.2162500000004,460243.25,49.268911114241426,56836.00000000008
1383,11,20,14,20,2250.89875,450179.75,50.37279287782804,56836.00000000004
1384,11,20,16,6,2290.925,458185.0,40.87074426214643,49585.00000000013
1385,11,20,16,8,2331.90125,466380.25,40.63161948777198,49584.99999999997
1386,11,20,16,10,2323.07625,464615.25,41.342193466624394,49585.00000000025
1387,11,20,16,12,2374.13125,474826.25,42.844216990788134,52323.50000000007
1388,11,20,16,14,2307.39,461478.0,47.250620914693044,56836.00000000001
