,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
148,6,14,11,465.95500000000004,93191.0,34.00594783830607,28072.250000000065
149,6,14,13,486.90750000000014,97381.5,33.68309590873793,28072.25000000014
150,6,14,15,516.3450000000001,103269.0,32.02504534021424,28297.249999999956
151,6,14,17,604.035,120807.0,25.663685779414365,9147.500000000018
152,6,14,19,639.7025000000001,127940.5,25.029264069264105,9034.000000000022
153,6,16,3,273.8775000000001,54775.5,43.822595470878184,31465.499999999935
154,6,16,5,388.65125000000006,77730.25,44.86239901901921,35305.250000000065
155,6,16,7,444.68750000000006,88937.5,43.6607703913277,35956.5
156,6,16,9,463.8625,92772.5,34.57891171822078,29098.49999999995
157,6,16,11,496.66750000000013,99333.5,32.95793415985719,28072.249999999905
158,6,16,13,508.09500000000014,101619.0,32.63068678126957,28297.250000000022
159,6,16,15,602.5350000000001,120507.0,25.663685779414365,9147.500000000018
160,6,16,17,628.01125,125602.25,24.721053531725737,9034.000000000025
161,6,16,19,646.7625000000002,129352.5,24.490017214036897,9034.000000000007
162,6,18,3,310.82250000000016,62164.5,41.30279263610408,31465.499999999985
163,6,18,5,445.70125,89140.25,43.47703518034487,35471.500000000065
164,6,18,7,430.46375,86092.75,43.27702519723898,35956.50000000004
165,6,18,9,487.3625000000001,97472.5,33.0646871061589,28072.249999999935
166,6,18,11,509.6137500000001,101922.75,32.44223173800638,28297.250000000007
167,6,18,13,581.7850000000002,116357.0,29.55154087867814,26732.250000000095
168,6,18,15,642.38625,128477.25,24.721053531725737,9034.000000000025
169,6,18,17,646.5125000000002,129302.5,24.490017214036897,9034.000000000007
170,6,18,19,684.2225,136844.5,21.375851744150278,8674.00000000003
171,6,20,3,318.1950000000001,63639.0,41.32313349530495,31465.499999999964
172,6,20,5,432.9,86580.0,43.10194509503723,35471.50000000011
173,6,20,7,449.65124999999995,89930.25,40.677304583430015,35956.50000000003
174,6,20,9,503.30125000000015,100660.25,32.6999745770546,28297.249999999927
175,6,20,11,552.3112500000002,110462.25,31.28159208929943,28297.250000000087
176,6,20,13,634.0625000000001,126812.5,25.029264069264105,9034.000000000022
