,period_high,period_low,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
9992,17,12,12,21,11,-37.922500000000035,-7584.5,84.3767942723896,18001.999999999978
9993,17,12,12,21,13,-86.9675,-17393.5,82.43322305785742,19373.250000000015
9994,17,12,12,21,15,-88.09250000000002,-17618.5,75.46035974661149,18553.250000000015
9995,17,12,12,21,17,-87.36625000000002,-17473.25,88.23095868940555,23643.249999999993
9996,17,12,15,18,5,-67.62624999999997,-13525.25,83.79396387832696,17630.249999999993
9997,17,12,15,18,7,-77.83375,-15566.75,98.72504752851712,20771.750000000004
9998,17,12,15,18,9,-87.83375,-17566.75,97.80050730424162,20820.74999999999
9999,17,12,15,18,11,-82.4675,-16493.5,71.08414907747432,15921.249999999996
10000,17,12,15,18,13,-88.09250000000002,-17618.5,75.46035974661149,18553.250000000015
10001,17,12,15,18,15,-84.27875000000002,-16855.75,99.3838600918788,25203.250000000022
10002,17,12,15,18,17,-87.36625000000002,-17473.25,88.23095868940555,23643.249999999993
10003,17,12,15,20,5,-67.62624999999997,-13525.25,83.79396387832696,17630.249999999993
10004,17,12,15,20,7,-67.33375000000001,-13466.75,79.83060054766577,18001.999999999978
10005,17,12,15,20,9,-37.922500000000035,-7584.5,84.3767942723896,18001.999999999978
10006,17,12,15,20,11,-87.2175,-17443.5,76.85917006180392,18063.250000000015
10007,17,12,15,20,13,-88.09250000000002,-17618.5,75.46035974661149,18553.250000000015
10008,17,12,15,20,15,-87.36625000000002,-17473.25,88.23095868940555,23643.249999999993
10009,17,12,15,20,17,-76.88500000000002,-15377.0,99.66351114899729,27767.5
10010,17,12,18,21,5,-75.15999999999998,-15032.0,85.96482889733844,18087.000000000007
10011,17,12,18,21,7,-73.45875,-14691.75,84.3767942723896,18001.999999999978
10012,17,12,18,21,9,-85.79,-17158.0,81.61539352705137,19373.249999999978
10013,17,12,18,21,11,-81.81375000000001,-16362.75,97.5641149714507,25203.250000000004
10014,17,12,18,21,13,-86.92875000000002,-17385.75,87.37539920642602,22571.25000000002
10015,17,12,18,21,15,-74.59750000000005,-14919.5,95.6908644573032,27286.25
10016,17,12,18,21,17,-75.60250000000005,-15120.5,96.42400040956335,28251.750000000025
10017,17,14,3,6,5,-5.983750000000038,-1196.75,81.63912801209958,17947.750000000004
10018,17,14,3,6,7,-75.07624999999996,-15015.25,84.92443453836273,18670.000000000007
10019,17,14,3,6,9,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10020,17,14,3,6,11,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10021,17,14,3,6,13,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10022,17,14,3,6,15,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10023,17,14,3,6,17,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10024,17,14,3,8,5,-75.07624999999996,-15015.25,84.92443453836273,18670.000000000007
10025,17,14,3,8,7,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10026,17,14,3,8,9,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10027,17,14,3,8,11,76.82124999999996,15364.25,66.10121183971624,15654.750000000018
10028,17,14,3,8,13,76.82124999999996,15364.25,66.10121183971624,15654.750000000018
10029,17,14,3,8,15,63.94624999999995,12789.25,64.8693155427944,15363.000000000018
10030,17,14,3,8,17,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10031,17,14,3,10,5,-81.20374999999996,-16240.75,77.76248905466414,17095.500000000004
10032,17,14,3,10,7,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10033,17,14,3,10,9,76.82124999999996,15364.25,66.10121183971624,15654.750000000018
10034,17,14,3,10,11,76.82124999999994,15364.25,64.8693155427944,15363.000000000018
10035,17,14,3,10,13,66.82124999999996,13364.25,64.8693155427944,15363.000000000018
10036,17,14,3,10,15,72.13374999999996,14426.75,62.05893639797216,15362.999999999984
10037,17,14,3,10,17,-78.45749999999995,-15691.5,87.67112209886666,18972.24999999999
10038,17,14,3,12,5,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10039,17,14,3,12,7,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10040,17,14,3,12,9,76.82124999999994,15364.25,64.8693155427944,15363.000000000018
10041,17,14,3,12,11,66.82124999999996,13364.25,64.8693155427944,15363.000000000018
10042,17,14,3,12,13,72.13374999999996,14426.75,62.05893639797216,15362.999999999984
10043,17,14,3,12,15,-78.45749999999995,-15691.5,87.67112209886666,18972.24999999999
10044,17,14,3,12,17,-79.20749999999994,-15841.5,88.2881630762103,19056.999999999993
10045,17,14,3,14,5,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10046,17,14,3,14,7,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10047,17,14,3,14,9,60.82124999999993,12164.25,64.8693155427944,15363.000000000018
10048,17,14,3,14,11,72.13374999999996,14426.75,62.05893639797216,15362.999999999984
10049,17,14,3,14,13,-78.45749999999995,-15691.5,87.67112209886666,18972.24999999999
10050,17,14,3,14,15,-77.40499999999994,-15481.0,74.31248588846236,16456.499999999996
10051,17,14,3,14,17,-27.85000000000008,-5570.0,71.74885366320792,15921.250000000004
10052,17,14,3,16,5,-83.00624999999997,-16601.25,92.13869019866495,20256.0
10053,17,14,3,16,7,-83.76999999999994,-16754.0,92.41682509505698,19444.49999999999
10054,17,14,3,16,9,68.19624999999996,13639.25,64.8693155427944,15363.000000000018
10055,17,14,3,16,11,-78.45749999999995,-15691.5,87.67112209886666,18972.24999999999
10056,17,14,3,16,13,-77.40499999999994,-15481.0,74.31248588846236,16456.499999999996
10057,17,14,3,16,15,-27.85000000000008,-5570.0,71.74885366320792,15921.250000000004
10058,17,14,3,16,17,-18.281250000000064,-3656.25,71.74885366320792,15921.250000000004
10059,17,14,3,18,5,-81.20374999999996,-16240.75,77.76248905466414,17095.500000000004
