,period_sma5,period_sma25,period_he,return,pnl,drawdown (%),drawdown (abs)
26,5,14,10,2050.3574999999996,410071.5,34.33708942938401,34472.57500000001
27,5,14,12,236.70687499999957,47341.37,79.39265583990291,41516.99999999996
28,5,14,14,303.5349999999998,60707.0,74.19448767029131,38858.24999999998
29,5,14,16,288.94749999999993,57789.5,71.56304869624405,31648.149999999972
30,5,14,18,343.11999999999966,68624.0,30.437463244360956,16044.500000000007
31,5,14,20,270.9133333333332,54182.67,57.318657630922274,19411.24999999997
32,5,16,6,3105.8523958333344,621170.48,30.237938676603125,12416.000000000015
33,5,16,8,622.5787499999998,124515.75,79.29334059954404,38848.89999999997
34,5,16,10,2064.7362499999995,412947.25,33.66458704371504,34888.82499999998
35,5,16,12,287.26437499999963,57452.87,66.23632177065635,40056.249999999956
36,5,16,14,382.47562499999987,76495.12,59.185397063158874,37141.50000000005
37,5,16,16,315.39374999999995,63078.75,60.18896030358999,26122.400000000045
38,5,16,18,381.88624999999973,76377.25,30.14353617524943,16044.5
39,5,16,20,278.35708333333315,55671.42,56.461699559330384,19411.24999999997
40,5,18,6,2989.980241071429,597996.05,35.82382388158752,12416.000000000025
41,5,18,8,486.8874999999998,97377.5,89.50149287191877,43915.250000000124
42,5,18,10,1966.1249999999995,393225.0,37.69261510632489,22400.25000000013
43,5,18,12,228.44562499999964,45689.12,82.13911300564828,44463.74999999998
44,5,18,14,332.1493749999999,66429.87,68.29671485678219,39765.250000000015
45,5,18,16,225.76624999999999,45153.25,78.71560078368664,29188.65000000006
46,5,18,18,296.329375,59265.88,34.16223075768068,17632.75
47,5,18,20,228.91875000000002,45783.75,54.4727153585501,15794.499999999996
48,5,20,6,3076.1145535714277,615222.91,38.279046106889105,12416.000000000018
49,5,20,8,538.8362499999997,107767.25,87.60841267387178,43915.24999999996
50,5,20,10,1958.4487500000002,391689.75,38.98899530483747,22400.249999999985
51,5,20,12,250.37562499999964,50075.12,78.07701445781015,44363.749999999876
52,5,20,14,347.57062500000006,69514.13,70.38826581717272,42865.750000000124
